#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Mnogo je siromaštva i nezaposlenosti.
232-11	18985-18986	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
232-12	18987-18996	japanskom	A	ADJ	*	DEMO	japanski	1[253]	japanski jezik[253]	NID[253]	LLM-0082[2160]	1[2160]	LLM-0082[2160]	*[552]	simple_wsd - LLM-0082:0.8652::Jezik koji se govori u Japanu.[2160]	
232-13	18997-19003	jeziku	N	NOUN	_	_	jezik	1[253]	japanski jezik[253]	NID[253]	LLM-0082[2160]	1[2160]	LLM-0082[2160]	*[552]	simple_wsd - LLM-0082:0.8652::Jezik koji se govori u Japanu.[2160]	
232-14	19003-19004	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Ona je ljubazna prema deci, ali može biti stroga kad zatreba.
233-1	19004-19007	Ona	PRO	PRON	_	_	ona	_	_	_	_	_	_	_	_	
233-2	19008-19010	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
233-3	19011-19019	ljubazna	A	ADJ	_	_	ljubazan	_	_	_	ENG30-01372049-a	4	ENG30-01075178-a;ENG30-01372049-a;ENG30-01461292-a;ENG30-02336109-a	*	simple_wsd - ENG30-01372049-a:0.9222::Onaj ko ima nežnu, pažljivu i obzirnu prirodu; koristi se za osobe i njihovo ponašanje. - ENG30-02336109-a:0.8300::koji je dovoljan za postizanje cilja - ENG30-01075178-a:0.7948::širi toplinu i prijateljstvo	
233-4	19020-19025	prema	PREP	ADP	_	_	prema	_	_	_	_	_	_	_	_	
233-5	19026-19030	deci	N	NOUN	_	_	deca	_	_	_	ENG30-09917593-n	3	DRS0-457358/0.0;DRS0-457359/0.0;ENG30-09917593-n	*	simple_wsd - ENG30-09917593-n:0.4420::Mlada osoba bilo kog pola (između rođenja i puberteta). - DRS0-457358/0.0:0.4051::ljudi u ranom uzrastu života; sinovi i kćeri u odnosu na roditelje; mlade osobe koje još nisu odrasle. - DRS0-457359/0.0:0.3352::zb. im. od dete.	
233-6	19030-19031	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
233-7	19032-19035	ali	CONJ	CCONJ	_	_	ali	_	_	_	_	_	_	_	_	
233-8	19036-19040	može	V	VERB	_	_	moći	_	_	_	CV0124	6	CV0044;CV0071;CV0124;CV0171;DRJ0-203294/2b.;ENG30-02523221-v	*	simple_wsd - CV0124:0.9376::biti upotrebljiv, prihvatljiv, odgovarati nekoj nameni ili potrebi. - CV0044:0.9266::biti u stanju, biti kadar, sposoban učiniti, uraditi nešto - DRJ0-203294/2b.:0.8689::sadržavati u sebi elemente, osnove za neku tvrdnju, davati povoda za verovanje, uverenost, tvrdnju	
233-9	19041-19045	biti	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
233-10	19046-19052	stroga	A	ADJ	_	_	strog	_	_	_	ENG30-00915556-a	2	ENG30-00711308-a;ENG30-00915556-a	*	simple_wsd - ENG30-00915556-a:0.7935::strogo tačan; ne dozvoljava odstupanje od standarda - ENG30-00711308-a:0.7078::koji nepopustljivo zahteva poštovanje utvrđenih kriterijuma, normi, merila	
233-11	19053-19056	kad	CONJ	SCONJ	_	_	kad	_	_	_	_	_	_	_	_	
233-12	19057-19064	zatreba	V	VERB	_	_	zatrebati	_	_	_	DRJ0-243269/0	1	DRJ0-243269/0	*	simple_wsd - DRJ0-243269/0:0.2255::postati potreban, ustrebati.	
233-13	19064-19065	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Kod težih slučajeva može biti potrebno intravensko davanje tečnosti.
234-1	19065-19068	Kod	PREP	ADP	_	_	kod	_	_	_	_	_	_	_	_	
234-2	19069-19074	težih	A	ADJ	_	_	težak	_	_	_	ENG30-00836544-a	11	ENG30-00651039-a;ENG30-00744916-a;ENG30-00747910-a;ENG30-00836544-a;ENG30-00987769-a;ENG30-01184932-a;ENG30-01190683-a;ENG30-01191618-a;ENG30-01510444-a;ENG30-02287733-a;ENG30-02317012-a	*	simple_wsd - ENG30-00836544-a:0.9440::koji je karakterističan za mukotrpan napor do iznemoglosti; posebno fizički napor - ENG30-01510444-a:0.9075::Velika (glavobolja). - ENG30-00651039-a:0.8670::izaziva strah ili anksioznost preteći velikom štetom	
234-3	19075-19084	slučajeva	N	NOUN	_	_	slučaj	_	_	_	ENG30-06649426-n	7	ENG30-06649426-n;ENG30-06784966-n;ENG30-07300960-n;ENG30-07308889-n;ENG30-09898892-n;ENG30-13766436-n;ENG30-13943400-n	*	simple_wsd - ENG30-06649426-n:0.9047::izjava o činjenicama i razlozima koji se koriste da podrže argument - ENG30-06784966-n:0.8102::problem koji zahteva istragu - ENG30-07308889-n:0.8063::pojava, pojedinačno iskazivanje, ostvarivanje ili ispoljavanje nečega	
234-4	19085-19089	može	V	VERB	_	_	moći	_	_	_	CV0071	6	CV0044;CV0071;CV0124;CV0171;DRJ0-203294/2b.;ENG30-02523221-v	*	simple_wsd - CV0071:0.6439::biti u mogućnosti, imati prilike za nešto, biti u okolnostima za ostvarivanje nečega - ENG30-02523221-v:0.5278::Istrajati ili uspevati. - CV0044:0.4283::biti u stanju, biti kadar, sposoban učiniti, uraditi nešto	
234-5	19090-19094	biti	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
234-6	19095-19103	potrebno	A	ADJ	_	_	potreban	_	_	_	ENG30-01462625-a	4	CV0048;ENG30-01462625-a;ENG30-01580775-a;ENG30-02526925-a	*	simple_wsd - ENG30-01462625-a:0.9397::koji je okarakterisan osećajem ili pokazuje nežnu naklonost prema - ENG30-01580775-a:0.8399::koji podmiruje potrebu, nužan; neohpodan za pružanje olakšanja ili za snabdevanje nečim - CV0048:0.6891::ono što je apsolutno važno; koji je takav da se bez njega ne može	
234-7	19104-19115	intravensko	A	ADJ	_	_	intravenski	_	_	_	RSSJ-17274/0	1	RSSJ-17274/0	*	simple_wsd - RSSJ-17274/0:0.5407::koji se unosi ili daje direktno u venu.	
234-8	19116-19123	davanje	N	NOUN	_	_	davanje	_	_	_	CV0240	2	CV0240;ENG30-01085793-n	*	simple_wsd - CV0240:0.7987::čin pružanja, uručivanja, predavanja nekome nečega - ENG30-01085793-n:0.3927::Raspodela svog vlasništva.	
234-9	19124-19132	tečnosti	N	NOUN	_	_	tečnost	_	_	_	ENG30-14940100-n	2	ENG30-14940100-n;ENG30-14940386-n	*	simple_wsd - ENG30-14940100-n:0.8686::tvar u tečnom agregatnom stanju koja nema utvrđen oblik, ali ima utvrđenu zapreminu - ENG30-14940386-n:0.6714::Supstanca koja je u tečnom stanju na sobnoj temperaturi i pritisku.	
234-10	19132-19133	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Izveštaji o njegovoj smrti su kontradiktorni.
235-1	19133-19142	Izveštaji	N	NOUN	_	_	izveštaj	_	_	_	ENG30-06508112-n	5	ENG30-06508112-n;ENG30-06681551-n;ENG30-07217924-n;ENG30-07218470-n;ENG30-07220300-n	*	simple_wsd - ENG30-06508112-n:0.7480::pisani prikaz o tome šta se dogodilo na sastanku - ENG30-07217924-n:0.4879::Čin verbalnog obaveštavanja. - ENG30-07220300-n:0.2140::pisana evaluacija akademskog uspeha i ponašanja studenta	
235-2	19143-19144	o	PREP	ADP	_	_	o	_	_	_	_	_	_	_	_	
235-3	19145-19153	njegovoj	PRO	DET	_	_	njegov	_	_	_	_	_	_	_	_	
235-4	19154-19159	smrti	N	NOUN	_	_	smrt	_	_	_	ENG30-13962498-n	4	ENG30-00219575-n;ENG30-11444117-n;ENG30-13962498-n;ENG30-15143477-n	*	simple_wsd - ENG30-13962498-n:0.8961::odsustvo života ili stanje mrtvog - ENG30-00219575-n:0.6650::čin ubistva - ENG30-11444117-n:0.6020::Trajan kraj svih životnih funkcija u organizmu ili delu organizma.	
235-5	19160-19162	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
235-6	19163-19177	kontradiktorni	A	ADJ	_	_	kontradiktoran	_	_	_	ENG30-00578234-a	2	ENG30-00578234-a;ENG30-02382144-a	*	simple_wsd - ENG30-00578234-a:0.6177::u neslaganju - ENG30-02382144-a:0.5986::o rečima ili tvrdnjama koje su takve da ne mogu obe biti istinite, niti obe lažne	
235-7	19177-19178	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Mislim da bi život bez napetosti bio veoma dosadan i beskoristan.
236-1	19178-19184	Mislim	V	VERB	_	_	misliti	_	_	_	ENG30-00609506-v	4	ENG30-00609506-v;ENG30-00631737-v;ENG30-00708538-v;ENG30-00727901-v	*	simple_wsd - ENG30-00609506-v:0.2448::Čuvati u pamćenju. - ENG30-00631737-v:0.1843::očekivati, verovati ili pretpostavljati - ENG30-00708538-v:0.0185::Imati na umu kao svrhu.	
236-2	19185-19187	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	
236-3	19188-19190	bi	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
236-4	19191-19196	život	N	NOUN	_	_	život	_	_	_	ENG30-15140405-n	11	ENG30-00006269-n;ENG30-05810561-n;ENG30-09178727-n;ENG30-10260706-n;ENG30-11473291-n;ENG30-13954253-n;ENG30-13961399-n;ENG30-13963192-n;ENG30-15140405-n;ENG30-15140744-n;ENG30-15140892-n	*	simple_wsd - ENG30-15140405-n:0.9336::Period u toku koga je nešto funkcionalno (kao između rođenja i smrti). - ENG30-15140892-n:0.8898::Period od sadašnjosti do smrti. - ENG30-11473291-n:0.8696::Organska pojava koja razlikuje žive organizme od neživih.	
236-5	19197-19200	bez	PREP	ADP	_	_	bez	_	_	_	_	_	_	_	_	
236-6	19201-19210	napetosti	N	NOUN	_	_	napetost	_	_	_	ENG30-14376188-n	3	ENG30-14375890-n;ENG30-14376188-n;ENG30-14446652-n	*	simple_wsd - ENG30-14376188-n:0.9327::(psihologija) stanje mentalnog ili emocionalnog naprezanja ili neizvesnosti - ENG30-14446652-n:0.9219::stanje napetosti i osećanja bolova - ENG30-14375890-n:0.9051::(psihologija) nervoza koja nastaje usled mentalnog stresa	
236-7	19211-19214	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
236-8	19215-19220	veoma	ADV	ADV	_	_	veoma	_	_	_	ENG30-00032803-b	4	ENG30-00018289-b;ENG30-00032803-b;ENG30-00059086-b;ENG30-00089408-b	*	simple_wsd - ENG30-00032803-b:0.6487::vrlo - ENG30-00059086-b:0.4357::u velikoj meri ili stepenu - ENG30-00018289-b:0.3613::reč koja se koristi kao pojačivač značenja	
236-9	19221-19228	dosadan	A	ADJ	_	_	dosadan	_	_	_	ENG30-00806512-a	3	ENG30-00036998-a;ENG30-00806512-a;ENG30-01345307-a	*	simple_wsd - ENG30-00806512-a:0.9541::kome nedostaju živost ili entuzijazam - ENG30-01345307-a:0.9458::koji je toliko nezanimljiv da prouzrokuje mentalni zamor - ENG30-00036998-a:0.1880::(posao) nije aktivan ili žustar	
236-10	19229-19230	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
236-11	19231-19242	beskoristan	A	ADJ	_	_	beskoristan	_	_	_	ENG30-02497141-a	2	ENG30-02121424-a;ENG30-02497141-a	*	simple_wsd - ENG30-02497141-a:0.5050::Koji nema upotrebnu vrednost ili nije sposoban da funkcioniše na koristan način. - ENG30-02121424-a:0.0613::koji je glup ili trivijalan	
236-12	19242-19243	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Iako je uzrok obične prehlade identifikovan tek pedesetih godina XX veka, ova bolest je pratila čovečanstvo kroz čitavu istoriju.
237-1	19243-19247	Iako	CONJ	SCONJ	_	_	iako	_	_	_	_	_	_	_	_	
237-2	19248-19250	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
237-3	19251-19256	uzrok	N	NOUN	_	_	uzrok	_	_	_	ENG30-06740402-n	2	ENG30-06740402-n;ENG30-07326557-n	*	simple_wsd - ENG30-06740402-n:0.6355::opravdanje za nešto što postoji ili se dešava - ENG30-07326557-n:0.4107::Događaji koji obezbeđuju pokretačku snagu koja je poreklo nečega.	
237-4	19257-19263	obične	A	ADJ	_	_	običan	1[254]	obična prehlada[254]	NID[254]	CVMWE-0241[2161]	1[2161]	CVMWE-0241[2161]	*[553]	simple_wsd - CVMWE-0241:0.9655::lako prenosiva infektivna bolest gornjeg respiratornog sistema koja uglavnom pogađa nos[2161]	
237-5	19264-19272	prehlade	N	NOUN	_	_	prehlada	1[254]	obična prehlada[254]	NID[254]	CVMWE-0241[2161]	1[2161]	CVMWE-0241[2161]	*[553]	simple_wsd - CVMWE-0241:0.9655::lako prenosiva infektivna bolest gornjeg respiratornog sistema koja uglavnom pogađa nos[2161]	
237-6	19273-19286	identifikovan	V	VERB	_	_	identifikovati	_	_	_	ENG30-01026095-v	3	ENG30-00618451-v;ENG30-00618878-v;ENG30-01026095-v	*	simple_wsd - ENG30-01026095-v:0.3348::navesti naziv ili identifikacione karakteristike; pozivati se po imenu ili nekom drugom identifikacionom karakterističn… - ENG30-00618878-v:0.2568::utvrditi da nešto postoji; utvrditi identitet nekoga ili nečega. - ENG30-00618451-v:0.0927::smatrati jednakim ili istim	
237-7	19287-19290	tek	ADV	ADV	_	_	tek	_	_	_	CV0241	5	CV0225;CV0241;ENG30-00011011-b;ENG30-00036291-b;ENG30-00047641-b	*	simple_wsd - CV0241:0.9565::koji se odnosi na smrt, koji je u vezi sa smrću - ENG30-00047641-b:0.8574::u neodređenom vremenskom periodu ili u neodređenom budućem vremenu - ENG30-00036291-b:0.8239::u maloj meri ili stepenu	
237-8	19291-19300	pedesetih	A	ADJ	_	_	pedeseti	_	_	_	DRJ0-211432/0b.	2	DRJ0-211432/0a.;DRJ0-211432/0b.	*	simple_wsd - DRJ0-211432/0b.:0.5454::sasvim neki drugi, koji nema veze s onim o čemu je reč: - DRJ0-211432/0a.:0.1117::redni broj koji odgovara osnovnom broju pedeset.	
237-9	19301-19307	godina	N	NOUN	_	_	godina	_	_	_	ENG30-15201505-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	*	simple_wsd - ENG30-15201505-n:0.3375::Vremenski period koji je potreban planeti (npr, Zemlji ili Marsu) da napravi potpunu revoluciju oko Sunca. - ENG30-15204297-n:0.2561::Vremenski period koji zauzima stalni deo kalendarske godine i koristi se za neku određenu aktivnost. - ENG30-15203791-n:0.2026::Vremenski period od 365 (ili 366) dana.	
237-10	19308-19310	XX	RN	NUM	_	_	XX	_	_	_	_	_	_	_	_	
237-11	19311-19315	veka	N	NOUN	_	_	vek	_	_	_	ENG30-15140892-n	3	ENG30-15140744-n;ENG30-15140892-n;ENG30-15205532-n	*	simple_wsd - ENG30-15140892-n:0.8853::Period od sadašnjosti do smrti. - ENG30-15140744-n:0.8243::Period između rođenja i sadašnjosti. - ENG30-15205532-n:0.6884::Sto godina.	
237-12	19315-19316	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
237-13	19317-19320	ova	PRO	DET	_	_	ovaj	_	_	_	_	_	_	_	_	
237-14	19321-19327	bolest	N	NOUN	_	_	bolest	_	_	_	ENG30-14061805-n	2	ENG30-14061805-n;ENG30-14070360-n	*	simple_wsd - ENG30-14061805-n:0.9729::Oštećenje normalne fiziološke funkcije koje pogađa deo ili ceo organizam. - ENG30-14070360-n:0.9499::Narušenost zdravlja ili stanje nenormalnog funkcionisanja.	
237-15	19328-19330	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
237-16	19331-19338	pratila	V	VERB	_	_	pratiti	_	_	_	ENG30-00351406-v	18	ENG30-00118764-v;ENG30-00351406-v;ENG30-00600235-v;ENG30-00729109-v;ENG30-01907076-v;ENG30-02025550-v;ENG30-02150948-v;ENG30-02163301-v;ENG30-02169352-v;ENG30-02197629-v;ENG30-02198602-v;ENG30-02406585-v;ENG30-02542280-v;ENG30-02561697-v;ENG30-02625339-v;ENG30-02716767-v;ENG30-02720354-v;ENG30-02720544-v	*	simple_wsd - ENG30-00351406-v:0.5081::pridržavati se čega - ENG30-02406585-v:0.4313::čiji naslednik biti - ENG30-02025550-v:0.3132::Ići ili putovati sa nekim.	
237-17	19339-19350	čovečanstvo	N	NOUN	_	_	čovečanstvo	_	_	_	ENG30-02472987-n	2	ENG30-02472987-n;ENG30-04726938-n	*	simple_wsd - ENG30-02472987-n:0.4213::Svi stanovnici Zemlje. - ENG30-04726938-n:-0.0199::kvalitet ljudskog bića	
237-18	19351-19355	kroz	PREP	ADP	_	_	kroz	_	_	_	_	_	_	_	_	
237-19	19356-19362	čitavu	A	ADJ	_	_	čitav	_	_	_	DRJ0-190679/3	10	DRJ0-190679/1;DRJ0-190679/2;DRJ0-190679/2a.;DRJ0-190679/2b.;DRJ0-190679/2v.;DRJ0-190679/3;DRJ0-190679/4;DRJ0-190679/5;DRJ0-190679/6;DRJ0-190679/7	*	simple_wsd - DRJ0-190679/3:0.9523::nepovređen, neoštećen, neokrnjen, neozleđen: - DRJ0-190679/7:0.9211::pametan, normalan.; ostati nepovređen.; sve mu je omrzlo.; svako, svi. - DRJ0-190679/2:0.5010::koji nije prekinut, koji je u punom obliku, opsegu ili trajanju (često u hiperboličnom značenju)	
237-20	19363-19371	istoriju	N	NOUN	_	_	istorija	_	_	_	ENG30-15123996-n	5	ENG30-06155567-n;ENG30-06156752-n;ENG30-06514093-n;ENG30-15121406-n;ENG30-15123996-n	*	simple_wsd - ENG30-15123996-n:0.8326::Kontinuitet događaja koji se sukcesivno dešavaju od prošlosti do sadašnjosti i vode čak u budućnost. - ENG30-15121406-n:0.3565::Ukupnost prošlih događaja. - ENG30-06155567-n:0.2599::disciplina koja beleži i tumači prošle događaje koji uključuju ljudska bića	
237-21	19371-19372	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Ostale slike se odnose na važne događaje iz istorije zemlje.
238-1	19372-19378	Ostale	A	ADJ	_	_	ostali	_	_	_	DRJ0-210164/0	1	DRJ0-210164/0	*	simple_wsd - DRJ0-210164/0:0.8822::svi koji preostaju posle pomenutih, navedenih, uzetih u obzir; drugi, ini.; osim toga, pored toga; kao uzgred.	
238-2	19379-19384	slike	N	NOUN	_	_	slika	_	_	_	ENG30-13937075-n	9	ENG30-03314028-n;ENG30-03876519-n;ENG30-03931044-n;ENG30-04144782-n;ENG30-05928118-n;ENG30-06277803-n;ENG30-07201804-n;ENG30-13937075-n;ENG30-14513489-n	*	simple_wsd - ENG30-13937075-n:0.8349::situacija koja se tretira kao osmotriv predmet - ENG30-03931044-n:0.6519::Vizuelna reprezentacija objekta, scene, osobe ili apstrakcije, proizvedena na nekoj površini. - ENG30-04144782-n:0.5606::grafička umetnost koja se sastoji od grafičke ili fotografske reprezentacije kakve vizuelne percepcije	
238-3	19385-19387	se	PAR	PART	_	_	se	1	*	IRV	ENG30-00931467-v[2162]	4[2162]	CVMWE-0253;ENG30-00931467-v;ENG30-02653706-v;ENG30-02676054-v[2162]	*[554]	simple_wsd - ENG30-00931467-v:0.6396::Imati kao značenje. - ENG30-02653706-v:0.6029::Biti deo nečega ili biti svojstvo nečega. - CVMWE-0253:0.5433::biti u vezi s kim, čim, ticati se nečega[2162]	
238-4	19388-19394	odnose	V	VERB	_	_	odnositi	1	odnositi se	IRV	ENG30-00931467-v[2162]	4[2162]	CVMWE-0253;ENG30-00931467-v;ENG30-02653706-v;ENG30-02676054-v[2162]	*[554]	simple_wsd - ENG30-00931467-v:0.6396::Imati kao značenje. - ENG30-02653706-v:0.6029::Biti deo nečega ili biti svojstvo nečega. - CVMWE-0253:0.5433::biti u vezi s kim, čim, ticati se nečega[2162]	
238-5	19395-19397	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
238-6	19398-19403	važne	A	ADJ	_	_	važan	_	_	_	ENG30-01275562-a	4	ENG30-00655779-a;ENG30-01275562-a;ENG30-01467919-a;ENG30-01830403-a	*	simple_wsd - ENG30-01275562-a:0.7013::Od velikog značaja ili važnosti. - ENG30-00655779-a:0.4271::od izuzetnog značaja; od vitalnog značaja za rešavanje krize - ENG30-01467919-a:0.2387::koji je velikog slova	
238-7	19404-19412	događaje	N	NOUN	_	_	događaj	_	_	_	ENG30-07447261-n	6	CV0008;ENG30-00029378-n;ENG30-07283608-n;ENG30-07307477-n;ENG30-07447261-n;ENG30-11453860-n	*	simple_wsd - ENG30-07447261-n:0.8964::nejasno određen društveni događaj - ENG30-11453860-n:0.7072::fenomen smešten na jednoj tački u prostoru-vremenu; osnovna posmatračka jedinica u teoriji relativnosti - ENG30-07283608-n:0.6347::Nešto što se dogodi.	
238-8	19413-19415	iz	PREP	ADP	_	_	iz	_	_	_	_	_	_	_	_	
238-9	19416-19424	istorije	N	NOUN	_	_	istorija	_	_	_	ENG30-15121406-n	5	ENG30-06155567-n;ENG30-06156752-n;ENG30-06514093-n;ENG30-15121406-n;ENG30-15123996-n	*	simple_wsd - ENG30-15121406-n:0.8854::Ukupnost prošlih događaja. - ENG30-15123996-n:0.7820::Kontinuitet događaja koji se sukcesivno dešavaju od prošlosti do sadašnjosti i vode čak u budućnost. - ENG30-06514093-n:0.7460::zabeleška ili pripovedni opis prošlih događaja	
238-10	19425-19431	zemlje	N	NOUN	_	_	zemlja	_	_	_	ENG30-14842992-n	11	ENG30-08168978-n;ENG30-08493064-n;ENG30-08544813-n;ENG30-09270894-n;ENG30-09334396-n;ENG30-09335240-n;ENG30-09451517-n;ENG30-13250048-n;ENG30-14842992-n;ENG30-14844414-n;ENG30-14844693-n	*	simple_wsd - ENG30-14842992-n:0.9220::Rastresit meki materijal koji čini veliki deo zemljine površine. - ENG30-08544813-n:0.8369::Teritorija koju zauzima narod. - ENG30-09451517-n:0.7848::Spoljašnji, vanjski omotač zemlje ili mora.	
238-11	19431-19432	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Veoma povoljno pojavljivanje komete usledilo je 1879. godine, kada je ona mogla da se posmatra najduže do danas–četiri meseca.
239-1	19432-19437	Veoma	ADV	ADV	_	_	veoma	_	_	_	ENG30-00032803-b	4	ENG30-00018289-b;ENG30-00032803-b;ENG30-00059086-b;ENG30-00089408-b	*	simple_wsd - ENG30-00032803-b:0.7176::vrlo - ENG30-00059086-b:0.6860::u velikoj meri ili stepenu - ENG30-00018289-b:0.5791::reč koja se koristi kao pojačivač značenja	
239-2	19438-19446	povoljno	A	ADJ	_	_	povoljan	_	_	_	ENG30-01673061-a	4	ENG30-00064479-a;ENG30-00224031-a;ENG30-00995775-a;ENG30-01673061-a	*	simple_wsd - ENG30-01673061-a:0.8893::koji je bez izuzetnog kvaliteta ili sposobnosti - ENG30-00224031-a:0.6349::koji ispoljava pogodan ili povoljan uticaj - ENG30-00064479-a:0.3255::pruža prednost	
239-3	19447-19460	pojavljivanje	N	NOUN	_	_	pojavljivanje	_	_	_	ENG30-07324673-n	2	ENG30-07321772-n;ENG30-07324673-n	*	simple_wsd - ENG30-07324673-n:0.8115::postepeni početak ili izrastanje - ENG30-07321772-n:0.5302::događaj pojavljivanja u vidokrugu	
239-4	19461-19467	komete	N	NOUN	_	_	kometa	_	_	_	ENG30-09251407-n	1	ENG30-09251407-n	*	simple_wsd - ENG30-09251407-n:0.7391::u astronomiji, relativno malo nebesko telo koje se sastoji od ledene mase koja se kreće oko sunca po veoma eliptičkoj p…	
239-5	19468-19476	usledilo	V	VERB	_	_	uslediti	_	_	_	ENG30-02712772-v	3	ENG30-02625339-v;ENG30-02712772-v;ENG30-02720354-v	*	simple_wsd - ENG30-02712772-v:0.6520::biti kasnije u vremenu - ENG30-02720354-v:0.3615::doći posle u vremenu, kao rezultat - ENG30-02625339-v:0.1676::biti proizvod ili rezultat	
239-6	19477-19479	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
239-7	19480-19485	1879.	A	ADJ	_	_	1879.	_	_	_	_	_	_	_	_	
239-8	19486-19492	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15201505-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	*	simple_wsd - ENG30-15201505-n:0.6542::Vremenski period koji je potreban planeti (npr, Zemlji ili Marsu) da napravi potpunu revoluciju oko Sunca. - ENG30-15203791-n:0.5436::Vremenski period od 365 (ili 366) dana. - ENG30-15202634-n:0.5360::Godina računata od 1. januara do 31. decembra po Gregorijanskom kalendaru.	
239-9	19492-19493	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
239-10	19494-19498	kada	CONJ	SCONJ	_	_	kada	_	_	_	_	_	_	_	_	
239-11	19499-19501	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
239-12	19502-19505	ona	PRO	PRON	_	_	ona	_	_	_	_	_	_	_	_	
239-13	19506-19511	mogla	V	VERB	_	_	moći	_	_	_	CV0071	6	CV0044;CV0071;CV0124;CV0171;DRJ0-203294/2b.;ENG30-02523221-v	*	simple_wsd - CV0071:0.4724::biti u mogućnosti, imati prilike za nešto, biti u okolnostima za ostvarivanje nečega - ENG30-02523221-v:0.4063::Istrajati ili uspevati. - CV0044:0.2533::biti u stanju, biti kadar, sposoban učiniti, uraditi nešto	
239-14	19512-19514	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	
239-15	19515-19517	se	PAR	PART	_	_	se	_	_	_	_	_	_	_	_	
239-16	19518-19526	posmatra	V	VERB	_	_	posmatrati	_	_	_	ENG30-00703875-v	8	ENG30-00033599-v;ENG30-00703875-v;ENG30-02118933-v;ENG30-02128653-v;ENG30-02150510-v;ENG30-02150948-v;ENG30-02169352-v;ENG30-02198602-v	*	simple_wsd - ENG30-00703875-v:0.4093::razmatrati kao mogućnost - ENG30-02169352-v:0.3591::pažljivo posmatrati - ENG30-00033599-v:0.3389::Posmatrati s pažnjom; upraviti nečiji pogled.	
239-17	19527-19534	najduže	ADV	ADV	_	_	najduže	_	_	_	RSSJ-27937/0	1	RSSJ-27937/0	*	simple_wsd - RSSJ-27937/0:0.3619::u najvećem trajanju, vremenski najprotežnije.	
239-18	19535-19537	do	PREP	ADP	_	_	do	1[255]	do danas[255]	AdvID[255]	CVMWE-0055[2163]	1[2163]	CVMWE-0055[2163]	*[555]	simple_wsd - CVMWE-0055:0.7687::sve do današnjeg vremena[2163]	
239-19	19538-19543	danas	ADV	ADV	_	_	danas	1[255]	do danas[255]	AdvID[255]	CVMWE-0055[2163]	1[2163]	CVMWE-0055[2163]	*[555]	simple_wsd - CVMWE-0055:0.7687::sve do današnjeg vremena[2163]	
239-20	19543-19544	–	PUNCT	PUNCT	_	_	–	_	_	_	_	_	_	_	_	
239-21	19544-19550	četiri	NUM	NUM	_	_	četiri	_	_	_	_	_	_	_	_	
239-22	19551-19557	meseca	N	NOUN	_	_	mesec	_	_	_	CVMWE-0348	7	CVMWE-0348;ENG30-09358226-n;ENG30-09358550-n;ENG30-11484975-n;ENG30-15206296-n;ENG30-15207872-n;ENG30-15209413-n	*	simple_wsd - CVMWE-0348:0.8510::nebesko telo koje rotira oko planete ili nekog manjeg tela koje se zove „primarno telo“ - ENG30-11484975-n:0.8289::Svetlost meseca. - ENG30-15207872-n:0.6910::Period između dva uzastopna mlada meseca, 29.531 dan.	
